policy,condition,time_seconds,azimuth_deg
advanced_greedy,nullburn,2662.6000000000004,352.0
advanced_greedy,nullburn,2671.6000000000004,352.0
advanced_greedy,nullburn,2680.6000000000004,352.0
advanced_greedy,nullburn,2689.6000000000004,352.0
advanced_greedy,nullburn,2698.6000000000004,352.0
advanced_greedy,nullburn,2707.6000000000004,352.0
advanced_greedy,nullburn,2716.6000000000004,352.0
advanced_greedy,nullburn,2725.6000000000004,352.0
advanced_greedy,nullburn,2734.6000000000004,352.0
advanced_greedy,nullburn,2743.6000000000004,352.0
advanced_greedy,nullburn,2752.6000000000004,352.0
advanced_greedy,nullburn,2761.6000000000004,352.0
advanced_greedy,nullburn,2770.6000000000004,352.0
advanced_greedy,nullburn,2779.6000000000004,352.0
advanced_greedy,nullburn,2788.6000000000004,352.0
advanced_greedy,nullburn,2797.6000000000004,352.0
advanced_greedy,nullburn,2806.6000000000004,352.0
advanced_greedy,nullburn,2815.6000000000004,352.0
advanced_greedy,nullburn,2824.6000000000004,352.0
advanced_greedy,nullburn,2833.6000000000004,352.0
advanced_greedy,nullburn,2842.6000000000004,352.0
advanced_greedy,nullburn,2851.6000000000004,352.0
advanced_greedy,nullburn,2860.6000000000004,352.0
advanced_greedy,nullburn,2869.6000000000004,352.0
advanced_greedy,nullburn,2878.6000000000004,352.0
advanced_greedy,nullburn,2887.6000000000004,352.0
advanced_greedy,nullburn,2896.6000000000004,352.0
advanced_greedy,nullburn,2905.6000000000004,352.0
advanced_greedy,nullburn,2914.6000000000004,352.0
advanced_greedy,nullburn,2923.6000000000004,352.0
advanced_greedy,nullburn,2932.6000000000004,352.0
advanced_greedy,nullburn,2941.6000000000004,356.0
advanced_greedy,nullburn,2950.6000000000004,356.0
advanced_greedy,nullburn,2959.6000000000004,356.0
advanced_greedy,nullburn,2968.6000000000004,356.0
advanced_greedy,nullburn,2977.6000000000004,356.0
advanced_greedy,nullburn,2986.6000000000004,356.0
advanced_greedy,nullburn,2995.6000000000004,356.0
advanced_greedy,nullburn,3004.6000000000004,356.0
advanced_greedy,nullburn,3013.6000000000004,356.0
advanced_greedy,nullburn,3022.6000000000004,356.0
advanced_greedy,nullburn,3031.6000000000004,356.0
advanced_greedy,nullburn,3040.6000000000004,356.0
advanced_greedy,nullburn,3049.6000000000004,356.0
advanced_greedy,nullburn,3058.6000000000004,356.0
advanced_greedy,nullburn,3067.6000000000004,356.0
advanced_greedy,nullburn,3076.6000000000004,356.0
advanced_greedy,nullburn,3085.6000000000004,356.0
advanced_greedy,nullburn,3094.6000000000004,356.0
advanced_greedy,nullburn,3126.3500000000004,332.0
advanced_greedy,nullburn,3280.9500000000003,200.0
advanced_greedy,nullburn,3321.8,232.0
advanced_greedy,nullburn,3330.8,232.0
advanced_greedy,nullburn,3339.8,232.0
advanced_greedy,nullburn,3348.8,232.0
advanced_greedy,nullburn,3357.8,232.0
advanced_greedy,nullburn,3366.8,232.0
advanced_greedy,nullburn,3375.8,232.0
advanced_greedy,nullburn,3384.8,232.0
advanced_greedy,nullburn,3393.8,232.0
advanced_greedy,nullburn,3402.8,232.0
advanced_greedy,nullburn,3411.8,232.0
advanced_greedy,nullburn,3420.8,232.0
advanced_greedy,nullburn,3429.8,232.0
advanced_greedy,nullburn,3438.8,232.0
advanced_greedy,nullburn,3447.8,232.0
advanced_greedy,nullburn,3456.8,232.0
advanced_greedy,nullburn,3465.8,232.0
advanced_greedy,nullburn,3488.4500000000003,216.0
advanced_greedy,nullburn,3497.4500000000003,216.0
advanced_greedy,nullburn,3506.4500000000003,216.0
advanced_greedy,nullburn,3515.4500000000003,216.0
advanced_greedy,nullburn,3524.4500000000003,216.0
advanced_greedy,nullburn,3533.4500000000003,216.0
advanced_greedy,nullburn,3542.4500000000003,216.0
advanced_greedy,nullburn,3551.4500000000003,216.0
advanced_greedy,nullburn,3560.4500000000003,216.0
advanced_greedy,nullburn,3569.4500000000003,216.0
advanced_greedy,nullburn,3578.4500000000003,216.0
advanced_greedy,nullburn,3587.4500000000003,216.0
advanced_greedy,nullburn,3596.4500000000003,216.0
advanced_greedy,nullburn,3605.4500000000003,216.0
advanced_greedy,nullburn,3614.4500000000003,216.0
advanced_greedy,nullburn,3623.4500000000003,216.0
advanced_greedy,nullburn,3632.4500000000003,216.0
advanced_greedy,nullburn,3641.4500000000003,216.0
advanced_greedy,nullburn,3650.4500000000003,216.0
advanced_greedy,nullburn,3659.4500000000003,216.0
advanced_greedy,nullburn,3668.4500000000003,216.0
advanced_greedy,nullburn,3677.4500000000003,216.0
advanced_greedy,nullburn,3686.4500000000003,216.0
advanced_greedy,nullburn,3695.4500000000003,216.0
advanced_greedy,nullburn,3704.4500000000003,216.0
advanced_greedy,nullburn,3713.4500000000003,216.0
advanced_greedy,nullburn,3722.4500000000003,216.0
advanced_greedy,nullburn,3731.4500000000003,216.0
advanced_greedy,nullburn,3740.4500000000003,216.0
advanced_greedy,nullburn,3749.4500000000003,216.0
advanced_greedy,nullburn,3758.4500000000003,216.0
advanced_greedy,nullburn,3767.4500000000003,216.0
advanced_greedy,nullburn,3776.4500000000003,216.0
advanced_greedy,nullburn,3785.4500000000003,216.0
advanced_greedy,nullburn,3794.4500000000003,216.0
advanced_greedy,nullburn,3803.4500000000003,216.0
advanced_greedy,nullburn,3812.4500000000003,216.0
advanced_greedy,nullburn,3821.4500000000003,216.0
advanced_greedy,nullburn,3830.4500000000003,216.0
advanced_greedy,nullburn,3839.4500000000003,216.0
advanced_greedy,nullburn,3848.4500000000003,216.0
advanced_greedy,nullburn,3857.4500000000003,216.0
advanced_greedy,nullburn,3866.4500000000003,216.0
advanced_greedy,nullburn,3875.4500000000003,216.0
advanced_greedy,nullburn,3884.4500000000003,216.0
advanced_greedy,nullburn,3893.4500000000003,216.0
advanced_greedy,nullburn,3902.4500000000003,216.0
advanced_greedy,nullburn,3911.4500000000003,216.0
advanced_greedy,nullburn,3920.4500000000003,216.0
