policy,condition,episode,mean_end_trace,median_end_trace,tagged_mean_end_trace,untagged_mean_end_trace,tagged_error_median_km,tagged_error_p90_km,reacquired_fraction
advanced_greedy,nullburn,22,0.01064576581046305,0.009332400178914143,0.009598901236665415,0.01090748195391246,8.51476263999939,21.66658840179444,0.07
advanced_greedy,nullburn,23,0.01177353983306863,0.010400778681969551,0.011910213274817272,0.01173937147263147,2.4778685569763184,12.1724708557129,0.1
advanced_greedy,nullburn,24,0.01089367666374434,0.00869161740321786,0.009628842816584632,0.01120988512553427,8.998411655426025,19.085691452026367,0.09
advanced_greedy,nullburn,25,0.01173126677119836,0.008522896298056335,0.011189675857995603,0.011866664499499049,1.8896797895431519,12.309281635284435,0.06
advanced_greedy,nullburn,26,0.012379285508837785,0.010913962462062107,0.013615845506702817,0.012070145509371525,3.190986752510071,14.641230010986328,0.07
advanced_greedy,nullburn,27,0.01340283089296112,0.01038954532617296,0.011138343323004887,0.013968952785450179,7.130436420440674,15.164059066772463,0.08
advanced_greedy,nullburn,28,0.011295506471263095,0.008637733832507221,0.01290203200658166,0.010893875087433454,7.40186071395874,16.36972351074219,0.08
advanced_greedy,nullburn,29,0.011464836011873852,0.01034311932904194,0.01077515020222821,0.011637257464285265,7.440362215042114,21.56788921356201,0.03
advanced_greedy,nullburn,30,0.010215805849777939,0.009198273491665344,0.010221424713635912,0.010214401133813446,7.2535247802734375,19.448183631896978,0.05
advanced_greedy,nullburn,31,0.011048001697658271,0.010320342445455183,0.012299624402376664,0.01073509602147867,4.008567571640015,16.110398197174085,0.03
advanced_greedy,nullburn,32,0.011267753004998451,0.009625823393979795,0.00948155686827101,0.011714302039180308,6.99871563911438,16.945963096618662,0.04
advanced_greedy,nullburn,33,0.012717508167247638,0.010534455572891241,0.012758212697784576,0.012707332034613406,3.6141613721847534,12.781090164184576,0.07
advanced_greedy,nullburn,34,0.011453877294837276,0.009322861683541558,0.01125541530429749,0.011503492792472226,4.471380114555359,19.711575126647954,0.08
advanced_greedy,nullburn,35,0.012902597684815503,0.01050906133065504,0.01217593109404655,0.013084264332507738,4.33726966381073,15.49570407867432,0.08
advanced_greedy,nullburn,36,0.011620205825102705,0.009058185532757796,0.01295166175702649,0.011287341842121757,5.120336532592773,12.415818023681645,0.04
advanced_greedy,nullburn,37,0.013057357442755563,0.010604296185583555,0.015194547085314095,0.012523060032115927,4.360281229019165,12.861065196990971,0.03
advanced_greedy,nullburn,38,0.012072764106979115,0.009137681396886603,0.010795996438348474,0.012391956024136773,1.433048963546753,19.06218719482422,0.04
advanced_greedy,nullburn,39,0.011252457929501485,0.008492641299511763,0.009161362345662723,0.011775231825461176,7.004841566085815,16.39214363098145,0.09
advanced_greedy,nullburn,40,0.010688528004019572,0.008156126220780845,0.010736035294329977,0.010676651181441975,6.243219614028931,15.339624691009522,0.05
advanced_greedy,nullburn,41,0.012288807757478277,0.010008350859486473,0.011294969038271794,0.012537267437279898,8.627219676971436,21.70580596923828,0.01
advanced_greedy,nullburn,42,0.010719355816724207,0.008390657952559142,0.00961839379078579,0.01099459632320881,8.001977443695068,19.624477958679204,0.09
