policy,sigma_km,maneuver,pair_id,rso_id,delta_v_magnitude_mps,seconds_after_burn,nis,exceeds_chi2_p99
advanced_greedy,0,nullburn,seed_023,64,0,1564.362915,4.27878831e-07,False
advanced_greedy,0,nullburn,seed_023,75,0,2127.64209,1.680269634e-05,False
advanced_greedy,0,nullburn,seed_023,65,0,2536.828125,9.441241673e-06,False
advanced_greedy,0,nullburn,seed_023,45,0,2803.317139,0.0001017620671,False
advanced_greedy,0,nullburn,seed_024,90,0,346.8718872,0.04082792625,False
advanced_greedy,0,nullburn,seed_024,97,0,556.2592773,6.776504051e-06,False
advanced_greedy,0,nullburn,seed_024,68,0,561.6616211,1.046762736e-05,False
advanced_greedy,0,nullburn,seed_024,72,0,737.0795288,3.238125282e-05,False
advanced_greedy,0,nullburn,seed_024,10,0,1493.716064,1.320539741e-05,False
advanced_greedy,0,nullburn,seed_024,4,0,1530.418335,2.527950164e-05,False
advanced_greedy,0,nullburn,seed_024,50,0,2066.749023,3.58845391e-05,False
advanced_greedy,0,nullburn,seed_024,51,0,3447.668945,1.817813427e-05,False
advanced_greedy,0,nullburn,seed_024,91,0,3600.536621,7.465612725e-05,False
advanced_greedy,0,nullburn,seed_025,78,0,201.0544891,1.409933702e-05,False
advanced_greedy,0,nullburn,seed_025,29,0,723.4692383,4.404934953e-05,False
advanced_greedy,0,nullburn,seed_025,95,0,1362.800659,1.196730591e-05,False
advanced_greedy,0,nullburn,seed_025,8,0,1972.823975,4.487820115e-05,False
advanced_greedy,0,nullburn,seed_025,69,0,1996.204468,1.64068606e-05,False
advanced_greedy,0,nullburn,seed_025,54,0,3251.594727,2.849430348e-05,False
advanced_greedy,0,nullburn,seed_026,27,0,6.212471962,1.28267834e-06,False
advanced_greedy,0,nullburn,seed_026,44,0,73.49733734,3.41351988e-05,False
advanced_greedy,0,nullburn,seed_026,93,0,241.6283722,1.191830506e-05,False
advanced_greedy,0,nullburn,seed_026,65,0,802.6942139,5.61895904e-05,False
advanced_greedy,0,nullburn,seed_026,42,0,1471.258545,9.307128494e-06,False
advanced_greedy,0,nullburn,seed_026,85,0,2439.383545,9.179265908e-05,False
advanced_greedy,0,nullburn,seed_026,40,0,4649.486816,0.0001961927774,False
advanced_greedy,0,nullburn,seed_027,0,0,362.2516479,2.985613719e-05,False
advanced_greedy,0,nullburn,seed_027,38,0,852.8400879,3.85053645e-05,False
