policy,sigma_km,maneuver,group,measurements,mean_nis,median_nis,p95_nis,fraction_above_chi2_p95,fraction_above_chi2_p99
frozen_cnnv2_ppo,10,normal,maneuvering_before_burn,5084,2.406926017,1.759207189,6.951686621,0.03422501967,0.005114083399
frozen_cnnv2_ppo,10,normal,maneuvering_after_burn,5189,44.91881705,4.93874836,237.0327637,0.3885141646,0.3208710734
frozen_cnnv2_ppo,10,finite1800s,all,52837,3.729994529,2.066774607,8.142635918,0.05539678634,0.02284384049
frozen_cnnv2_ppo,10,finite1800s,non_maneuvering,42540,2.623790053,2.009271502,7.125304699,0.03629525153,0.007310766338
frozen_cnnv2_ppo,10,finite1800s,maneuvering_before_burn,5084,2.406927106,1.759207189,6.951686621,0.03422501967,0.005114083399
frozen_cnnv2_ppo,10,finite1800s,maneuvering_after_burn,5213,14.0473575,3.2050879,62.28959122,0.2319201995,0.1668904661
frozen_cnnv2_ppo,10,stress100to2000,all,51369,304.7614918,2.178426981,257.5771851,0.1029609297,0.07510366174
frozen_cnnv2_ppo,10,stress100to2000,non_maneuvering,42532,2.624843311,2.010194778,7.130414391,0.03630207844,0.007335653155
frozen_cnnv2_ppo,10,stress100to2000,maneuvering_before_burn,5083,2.407171272,1.7617805,6.951885223,0.0342317529,0.005115089514
frozen_cnnv2_ppo,10,stress100to2000,maneuvering_after_burn,3754,4137.298238,775.9278564,19091.69541,0.9512519979,0.9376664891
